inter,comm
39811,0
39811,0
39811,0
41147,0
11545,0
11545,0
11545,0
11901,0
15584,0
37470,0
28694,0
28694,0
28694,0
25859,0
42321,0
42321,0
42321,0
42321,0
42010,0
42010,0
42010,0
42010,0
27523,0
27523,0
27523,0
27523,0
27523,0
27523,0
27523,0
6509,0
6509,0
6509,0
6509,0
6509,0
6509,0
6509,0
6509,0
6509,0
6509,0
6509,0
6509,0
6509,0
6509,0
17085,0
17085,0
27174,0
27174,0
27174,0
27174,0
27174,0
27174,0
27174,0
27494,0
27494,0
27494,0
16321,0
16321,0
16321,0
16321,0
16321,0
16321,0
9774,0
9774,0
9774,0
9774,0
24952,0
24952,0
2584,0
2584,0
2584,0
12481,0
12481,0
12481,0
12481,0
9235,0
9235,0
9235,0
8433,0
8433,0
8433,0
8433,0
8433,0
8433,0
8433,0
35462,0
35462,0
35462,0
35462,0
35462,0
35462,0
35462,0
35462,0
11061,0
11061,0
11061,0
11061,0
11061,0
11061,0
11061,0
39173,0
39173,0
39173,0
39173,0
39173,0
39173,0
39173,0
39173,0
39173,0
39173,0
39173,0
39173,0
39173,0
39173,0
28942,0
28942,0
28942,0
28942,0
28942,0
28942,0
28942,0
21735,0
21735,0
21735,0
21735,0
21735,0
9722,0
9722,0
9722,0
9722,0
9722,0
9722,0
9722,0
9722,0
9722,0
9722,0
9722,0
9722,0
9722,0
9722,0
9722,0
9722,0
9722,0
9722,0
9722,0
9722,0
9722,0
9722,0
9722,0
9722,0
10638,0
10638,0
10638,0
10638,0
10638,0
10638,0
10638,0
10638,0
10638,0
10638,0
10638,0
9238,0
9238,0
9238,0
9238,0
9238,0
9238,0
9238,0
9238,0
9238,0
9238,0
9238,0
9238,0
9238,0
9238,0
9238,0
9238,0
9238,0
9238,0
8983,0
8983,0
8983,0
8983,0
8983,0
8983,0
8983,0
8983,0
8983,0
8983,0
8983,0
8983,0
8983,0
8983,0
8983,0
8983,0
8983,0
8983,0
8983,0
8983,0
8983,0
8983,0
8983,0
8983,0
8983,0
8367,0
8367,0
8367,0
8367,0
8367,0
8367,0
8367,0
8367,0
8367,0
8367,0
8367,0
8367,0
35405,0
35405,0
35405,0
35405,0
35405,0
35405,0
35405,0
35405,0
35405,0
38150,0
38150,0
38150,0
38150,0
38150,0
38150,0
38150,0
38150,0
38150,0
38150,0
38150,0
38150,0
38150,0
38150,0
29231,0
29231,0
29231,0
29231,0
29231,0
29231,0
29231,0
29231,0
29231,0
29231,0
29231,0
29231,0
29231,0
29231,0
29231,0
29231,0
29231,0
29231,0
29231,0
29231,0
29231,0
29231,0
29231,0
14474,0
14474,0
14474,0
14474,0
14474,0
14474,0
14474,0
14474,0
14474,0
14474,0
14474,0
14474,0
14474,0
14474,0
14474,0
37738,0
37738,0
37738,0
37738,0
37738,0
37738,0
37738,0
37738,0
37738,0
37738,0
37738,0
37738,0
37738,0
37738,0
37738,0
3749,0
23113,0
23113,0
31216,0
14677,0
1180,0
3752,0
3752,0
3752,0
3752,0
10162,0
10162,0
10162,0
10162,0
10162,0
10162,0
10162,0
10162,0
10162,0
10162,0
10162,0
10162,0
24741,0
24741,0
24741,0
9644,0
9644,0
9644,0
9644,0
9644,0
9644,0
9644,0
9644,0
9644,0
9644,0
196,0
357,0
357,0
357,0
357,0
9811,0
9811,0
9811,0
9811,0
9811,0
9811,0
9811,0
9811,0
9811,0
9811,0
4729,0
4729,0
4729,0
4729,0
4729,0
4729,0
4729,0
4729,0
4729,0
4729,0
4729,0
4729,0
34018,0
34018,0
26622,0
26622,0
26622,0
26622,0
26622,0
26622,0
26622,0
26622,0
26622,0
26622,0
26622,0
26622,0
26622,0
26622,0
22591,0
22591,0
22591,0
22591,0
22591,0
22591,0
22591,0
22591,0
22591,0
22591,0
22591,0
22591,0
22591,0
22591,0
41985,0
41985,0
41985,0
41985,0
41985,0
41985,0
41985,0
41985,0
41985,0
41985,0
41985,0
41985,0
41985,0
41985,0
41985,0
41985,0
41985,0
36195,0
14987,0
14987,0
14987,0
14987,0
14987,0
14987,0
14987,0
14987,0
14987,0
14987,0
14987,0
14987,0
14987,0
14987,0
14987,0
14987,0
14987,0
34299,0
34299,0
34299,0
34299,0
34299,0
34299,0
34299,0
34299,0
34299,0
34299,0
34299,0
34299,0
34299,0
34299,0
34299,0
34299,0
46178,0
46178,0
46178,0
46178,0
41154,0
41154,0
17578,0
17578,0
17578,0
17578,0
17578,0
17578,0
17578,0
17578,0
17578,0
17578,0
17578,0
25480,0
25480,0
25480,0
25480,0
25480,0
25480,0
25480,0
25480,0
25480,0
25480,0
25480,0
25480,0
25480,0
25480,0
25480,0
27518,0
27518,0
27518,0
27518,0
27518,0
27518,0
27518,0
27518,0
27518,0
27518,0
27518,0
27518,0
27518,0
27518,0
27518,0
27518,0
27518,0
27518,0
27518,0
27518,0
27518,0
26528,0
26528,0
26528,0
26528,0
26528,0
16733,0
16733,0
16733,0
16733,0
16733,0
16733,0
1777,0
1777,0
1777,0
1777,0
1777,0
18876,0
18876,0
18876,0
18876,0
18876,0
18876,0
18876,0
18876,0
18876,0
18876,0
18876,0
18876,0
18876,0
43498,0
43498,0
43498,0
43498,0
43498,0
19490,0
19490,0
19490,0
19490,0
19490,0
19490,0
19490,0
44106,0
44106,0
44106,0
44106,0
44106,0
44106,0
44106,0
44106,0
24635,0
24635,0
24635,0
24635,0
24635,0
24635,0
24635,0
24635,0
24635,0
2768,0
2768,0
2768,0
2768,0
2768,0
2768,0
2768,0
2768,0
2768,0
2768,0
2768,0
2768,0
2768,0
24326,0
24326,0
24326,0
24326,0
24326,0
24326,0
24326,0
24326,0
24326,0
24326,0
24326,0
24326,0
17997,0
17997,0
17997,0
17997,0
17997,0
17997,0
17997,0
30429,0
30429,0
30429,0
30429,0
30429,0
8815,0
8815,0
8815,0
8815,0
8815,0
8815,0
35422,0
35422,0
35422,0
35422,0
35422,0
34595,0
34595,0
34595,0
34595,0
34595,0
34595,0
34595,0
34595,0
34595,0
34595,0
34595,0
34595,0
34595,0
34595,0
31981,0
31981,0
31981,0
31981,0
31981,0
31981,0
31981,0
31981,0
31981,0
31981,0
35005,0
35005,0
35005,0
35005,0
35005,0
35005,0
15270,0
15270,0
15270,0
15270,0
15270,0
15270,0
15270,0
15738,0
15738,0
15738,0
15738,0
15738,0
15738,0
15738,0
15738,0
15738,0
15738,0
15738,0
15738,0
15738,0
15738,0
15738,0
15738,0
29076,0
29076,0
29076,0
29076,0
29076,0
29076,0
29076,0
29076,0
29399,0
29399,0
29399,0
29399,0
29399,0
29399,0
29399,0
29399,0
29399,0
29399,0
29399,0
29399,0
29399,0
29399,0
497,0
497,0
497,0
497,0
497,0
497,0
497,0
497,0
497,0
497,0
497,0
497,0
497,0
497,0
497,0
497,0
497,0
497,0
21831,0
21831,0
33289,0
33289,0
33289,0
33289,0
33289,0
681,0
681,0
681,0
681,0
681,0
21181,0
21181,0
21181,0
21181,0
26285,0
26285,0
26285,0
26285,0
26285,0
26285,0
26285,0
26285,0
26285,0
26285,0
26285,0
26208,0
26208,0
10836,0
10836,0
10836,0
10836,0
10836,0
10836,0
10836,0
10836,0
10836,0
10836,0
10836,0
10836,0
10836,0
10836,0
10836,0
10836,0
10836,0
10836,0
10836,0
10836,0
10836,0
10836,0
10836,0
41714,0
41714,0
41714,0
41714,0
41714,0
41714,0
41714,0
41714,0
41714,0
41714,0
41714,0
41714,0
41714,0
41714,0
41714,0
41714,0
41714,0
25260,0
25260,0
25260,0
25260,0
25260,0
25260,0
25260,0
25260,0
25260,0
25247,0
25247,0
41809,0
41809,0
41809,0
41809,0
41809,0
41809,0
41809,0
41809,0
41809,0
41809,0
41809,0
41809,0
41809,0
32782,0
32782,0
32782,0
32782,0
32782,0
32782,0
32782,0
32782,0
32782,0
32782,0
32782,0
17650,0
17650,0
17650,0
17650,0
17650,0
17650,0
17650,0
17650,0
3284,0
3284,0
3284,0
3284,0
3284,0
3284,0
3284,0
3284,0
25682,0
25682,0
25682,0
25682,0
25682,0
25682,0
25682,0
3567,0
3567,0
3567,0
3567,0
3567,0
3567,0
3567,0
3567,0
3567,0
3567,0
3567,0
3567,0
3567,0
3567,0
3567,0
3567,0
25418,0
25418,0
25418,0
25418,0
25418,0
4595,0
4595,0
4595,0
16226,0
16226,0
16226,0
16226,0
16226,0
16226,0
16226,0
16226,0
16226,0
16226,0
16226,0
5017,0
5017,0
5017,0
5017,0
5017,0
5017,0
5017,0
5017,0
5017,0
5017,0
5017,0
5017,0
10982,0
10982,0
10982,0
10982,0
10982,0
10982,0
10982,0
10982,0
10982,0
10982,0
10982,0
10982,0
10982,0
10982,0
10982,0
10982,0
26411,0
26411,0
26411,0
26411,0
26411,0
26411,0
26411,0
26411,0
26411,0
4122,0
4122,0
4122,0
26810,0
26810,0
26810,0
26810,0
26810,0
26810,0
26810,0
26810,0
26810,0
4355,0
4355,0
4355,0
4355,0
4355,0
4355,0
4355,0
43665,0
43665,0
43665,0
43665,0
43665,0
43665,0
43665,0
43665,0
1893,0
1893,0
1893,0
1893,0
1893,0
23034,0
23034,0
23034,0
23034,0
23034,0
23034,0
23034,0
23034,0
23034,0
23034,0
23034,0
23034,0
23034,0
23034,0
43703,0
43703,0
2119,0
2119,0
2119,0
2119,0
2119,0
2119,0
2119,0
2119,0
2119,0
2119,0
2119,0
2119,0
2119,0
2119,0
2119,0
2119,0
2119,0
2119,0
2119,0
2119,0
2119,0
2119,0
2119,0
33620,0
33620,0
33620,0
33620,0
33620,0
33620,0
33620,0
33620,0
33620,0
44322,0
44322,0
44322,0
44322,0
44322,0
44322,0
44322,0
44322,0
2845,0
2845,0
2845,0
9941,0
9941,0
9941,0
9941,0
9941,0
9941,0
9941,0
24661,0
24661,0
24661,0
24661,0
24661,0
24661,0
24661,0
24661,0
24661,0
24661,0
24661,0
24661,0
24661,0
24661,0
18649,0
18649,0
18649,0
18649,0
33709,0
33709,0
33709,0
33709,0
33709,0
33709,0
33709,0
33709,0
