user,inter
19514,39811
18668,39811
3647,39811
16897,41147
16897,11545
1998,11545
6976,11545
16897,11901
16897,15584
16897,37470
16897,28694
13890,28694
17410,28694
11555,25859
11555,42321
9644,42321
14306,42321
14613,42321
11555,42010
4821,42010
11824,42010
21941,42010
11555,27523
16997,27523
21151,27523
21837,27523
5040,27523
7087,27523
3006,27523
11555,6509
1965,6509
5151,6509
14714,6509
20623,6509
8367,6509
7796,6509
21837,6509
10227,6509
7685,6509
2165,6509
6062,6509
10914,6509
19307,6509
6019,17085
16606,17085
6019,27174
10108,27174
10089,27174
163,27174
15994,27174
22923,27174
17721,27174
6019,27494
15881,27494
3541,27494
6019,16321
10908,16321
6040,16321
37,16321
21057,16321
4599,16321
6019,9774
20518,9774
12482,9774
5844,9774
6019,24952
11275,24952
6019,2584
16321,2584
1509,2584
6019,12481
4045,12481
2920,12481
11615,12481
6019,9235
1274,9235
6781,9235
6019,8433
12141,8433
18594,8433
4792,8433
5099,8433
15669,8433
5178,8433
6019,35462
15420,35462
4503,35462
5858,35462
3163,35462
13919,35462
2602,35462
7954,35462
6019,11061
5881,11061
6138,11061
5831,11061
13354,11061
588,11061
17410,11061
6019,39173
1274,39173
4825,39173
15405,39173
3541,39173
737,39173
4997,39173
13354,39173
9750,39173
11526,39173
5844,39173
11720,39173
13448,39173
3919,39173
6019,28942
5874,28942
13713,28942
9582,28942
9925,28942
3204,28942
11896,28942
6019,21735
1274,21735
17514,21735
3507,21735
6069,21735
16606,9722
1274,9722
22066,9722
17220,9722
5820,9722
12707,9722
13250,9722
5606,9722
11064,9722
13604,9722
22768,9722
4751,9722
13315,9722
11720,9722
6040,9722
9581,9722
23195,9722
18417,9722
12690,9722
6559,9722
14893,9722
11506,9722
18970,9722
3188,9722
16606,10638
1274,10638
4825,10638
5001,10638
19095,10638
5479,10638
5838,10638
14140,10638
6190,10638
3557,10638
6503,10638
16606,9238
1274,9238
20515,9238
12477,9238
14103,9238
12376,9238
13991,9238
14566,9238
17625,9238
2699,9238
3861,9238
6559,9238
18890,9238
13919,9238
9953,9238
6976,9238
2967,9238
23253,9238
16606,8983
1274,8983
15405,8983
8426,8983
21916,8983
8702,8983
197,8983
4903,8983
12482,8983
4943,8983
18143,8983
7906,8983
23195,8983
3188,8983
21677,8983
19754,8983
14399,8983
1706,8983
4528,8983
14615,8983
22926,8983
2418,8983
5846,8983
14655,8983
304,8983
16606,8367
1274,8367
4612,8367
17220,8367
12376,8367
5820,8367
10794,8367
6160,8367
13315,8367
6190,8367
19904,8367
16972,8367
16606,35405
1274,35405
5698,35405
13991,35405
6547,35405
16448,35405
12786,35405
5580,35405
21376,35405
16606,38150
1274,38150
15405,38150
17220,38150
10108,38150
5842,38150
13419,38150
13250,38150
4751,38150
11720,38150
3507,38150
1559,38150
3457,38150
1706,38150
16606,29231
1274,29231
1537,29231
14103,29231
12376,29231
13991,29231
12482,29231
5807,29231
12707,29231
11218,29231
15994,29231
7075,29231
4679,29231
6208,29231
3861,29231
3788,29231
18970,29231
19296,29231
18890,29231
5853,29231
6061,29231
3457,29231
5548,29231
16606,14474
6101,14474
8208,14474
14193,14474
5807,14474
16454,14474
7075,14474
2097,14474
5613,14474
14893,14474
16842,14474
5853,14474
2562,14474
21296,14474
21533,14474
16606,37738
